,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
24074,6jUlmFnIsW7FUnfaBuuVrO,Omar S;Ob Ignitt,"Wayne County Hill Cop's, Pt. .2",Wayne County Hill Cop's,13,431759,False,0.799,0.9,6,-7.324,1,0.035,0.000419,0.858,0.0833,0.767,121.006,4,detroit-techno
56767,6iWEhoALoBFnQMNVhYY0Sc,flora cash,"Baby, It's Okay",You're Somebody Else,68,219013,False,0.706,0.46,1,-9.061,1,0.0296,0.847,0.00793,0.106,0.226,102.98,4,indie-pop
